,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0,-131.99391806386703,-146.24908452356456,14.255166459697534
1,-155.78642476235387,-143.69749497313353,-12.088929789220344
2,-120.56599732486704,-145.12374979653794,24.557752471670895
3,-165.69505315901185,-147.29652443923288,-18.398528719778966
4,-163.36929420775624,-144.84327006762695,-18.526024140129294
5,-194.7677273357046,-145.15984780433533,-49.607879531369264
6,-196.2092245445774,-146.2631968520385,-49.946027692538905
7,-194.46735060535715,-144.84165583760054,-49.62569476775661
8,-150.610108510219,-146.0300496078855,-4.580058902333491
9,-85.31496450043014,-145.5784355995111,60.26347109908096
10,-168.15904431446373,-144.14982451060604,-24.00921980385769
11,-116.4681052076292,-144.2061117134555,27.738006505826306
12,-148.89405091033302,-144.1151458384402,-4.778905071892808
13,-168.61959588110605,-144.55008741335797,-24.06950846774808
14,-187.4676479386133,-144.0014708855917,-43.466177053021624
15,-142.5533640128042,-142.44814452110285,-0.10521949170134803
16,-171.02284523051833,-145.93439632399105,-25.088448906527276
17,-102.05250896695142,-144.56180674458165,42.50929777763022
18,-190.39405782381027,-144.76081898125582,-45.63323884255445
19,-112.7038434462737,-144.52317167763792,31.819328231364224
20,-122.9519648562873,-145.69405044151995,22.742085585232644
21,-113.0891534552078,-144.0790361885124,30.989882733304583
22,-112.02330448907595,-144.5228196253216,32.49951513624565
23,-185.79207987406767,-144.55684329684235,-41.23523657722532
24,-169.37393862270463,-143.82526267617817,-25.54867594652646
25,-161.45719280472767,-145.69443960147322,-15.762753203254448
26,-117.04504762886376,-144.5475669997565,27.502519370892742
27,-167.4631516067179,-142.2395795556346,-25.223572051083295
28,-125.05628457803094,-144.67001202399345,19.61372744596251
29,-158.69508005166696,-143.5320445929361,-15.16303545873086
30,-111.1984639670496,-145.09995026630136,33.90148629925176
31,-153.7794979684948,-148.03928009323823,-5.740217875256576
32,-165.04111204098623,-144.17911104954504,-20.862000991441192
33,-135.15880825774596,-146.2349651394955,11.07615688174954
34,-152.3221951357714,-144.6060998811001,-7.716095254671302
35,-146.4354686394832,-143.28287844932174,-3.1525901901614475
36,-182.8393030328158,-144.23896209247877,-38.60034094033702
37,-152.16774420581308,-144.0277852871095,-8.13995891870357
38,-107.15324637880954,-142.15933754569787,35.006091166888325
39,-126.99738966244016,-144.56480137940756,17.5674117169674
40,-129.64005419676116,-144.85822551605338,15.218171319292225
41,-151.29908618778035,-143.64699223809916,-7.652093949681188
42,-159.5567655252367,-143.64027002715386,-15.916495498082838
43,-189.4276691583668,-143.39921595376885,-46.02845320459795
44,-120.11540106333824,-144.5442987280331,24.428897664694873
45,-150.74760181296847,-145.03675017770374,-5.710851635264731
46,-105.18826461842116,-144.47882343767193,39.290558819250776
47,-109.55940121272111,-144.54878911956038,34.98938790683927
48,-146.51468697202205,-144.81956288647999,-1.6951240855420622
49,-187.2173270241185,-144.7571246892153,-42.460202334903215
50,-169.68100768852145,-142.63312096037563,-27.047886728145812
51,-122.77130696775296,-144.86314315706667,22.09183618931371
52,-167.6447025934931,-144.84551186132742,-22.79919073216567
53,-120.05333916057332,-144.56125289359903,24.507913733025717
54,-116.87196580688308,-146.12030851556113,29.248342708678052
55,-165.49334385527868,-146.17427556937457,-19.31906828590411
56,-139.14995827420682,-144.8893322534874,5.739373979280572
57,-153.4606575497882,-143.9987695270213,-9.461888022766914
58,-169.3128346012692,-144.55839850223995,-24.75443609902925
59,-191.71614262873408,-143.89257708734053,-47.82356554139355
60,-106.96968808003966,-146.3360437016127,39.36635562157305
61,-151.88811100091348,-144.70214928386395,-7.185961717049537
62,-178.30713615528867,-144.2566471643792,-34.050488990909486
63,-109.4321754251306,-143.01655834853452,33.58438292340392
64,-129.93439080794488,-142.68988130325624,12.755490495311363
65,-110.37081579160906,-144.53834275539435,34.16752696378529
66,-130.56295765200375,-142.59760498794128,12.034647335937535
67,-115.99567047615848,-144.52329466228542,28.527624186126943
68,-129.17865123162971,-145.26283485386494,16.08418362223523
