,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
140,-183.34532609901404,-145.00480056562998,-38.34052553338407
141,-126.33924634394542,-145.16582966414498,18.82658332019956
142,-146.76530089920567,-144.95266953573736,-1.8126313634683129
143,-135.88871883835705,-145.1587579262354,9.27003908787836
144,-173.41552529381335,-146.20664274779597,-27.208882546017378
145,-185.5811133723789,-144.78500946089977,-40.79610391147912
146,-159.20845306035102,-145.31342978139566,-13.895023278955364
147,-117.49230502552936,-146.11047320635026,28.618168180820902
148,-193.82238746951828,-146.12933695564968,-47.6930505138686
149,-143.53954506627872,-148.3910406052349,4.851495538956186
150,-193.79482950622332,-144.96263242801578,-48.83219707820754
151,-165.1336496049087,-148.43394058235634,-16.699709022552355
152,-114.89235172132167,-148.25481276665084,33.36246104532917
153,-152.9951265054088,-147.68501345368628,-5.31011305172251
154,-164.49705195182256,-146.28723909193118,-18.20981285989137
155,-150.93574617264773,-146.82050089564908,-4.11524527699865
156,-106.99863406519724,-147.36393276306202,40.36529869786479
157,-154.66053362405532,-144.56483230084214,-10.095701323213177
158,-170.87519566214416,-144.58835600372004,-26.286839658424128
159,-148.15282019392234,-147.25779175907698,-0.8950284348453579
160,-111.61329650427663,-144.5593980057696,32.94610150149296
161,-136.0094845050022,-144.71102306907892,8.701538564076714
162,-139.99479743314893,-145.9780186443201,5.983221211171156
163,-120.10154432157417,-145.8934136971519,25.791869375577747
164,-155.130407361975,-146.08950673424224,-9.040900627732753
165,-148.4705003077819,-145.28477144978268,-3.1857288579992087
166,-149.40543047618593,-150.29707630805132,0.8916458318653895
167,-107.95557858894972,-148.11235078506775,40.15677219611803
168,-121.0118569081054,-146.3777303192047,25.365873411099287
169,-149.13738186770115,-147.66082070724167,-1.4765611604594824
170,-149.02811412346944,-145.20117182230277,-3.8269423011666674
171,-136.11709749253757,-144.56555730116588,8.448459808628314
172,-169.994090056443,-147.6481501195991,-22.345939936843905
173,-125.80690809783869,-144.5722811971637,18.765373099325018
174,-148.66608286691022,-146.13492395147176,-2.5311589154384535
175,-199.0766019959672,-144.58195821959535,-54.494643776371845
176,-149.55626317871233,-147.4892861684573,-2.066977010255016
177,-235.8064863466145,-144.9768547165027,-90.8296316301118
